نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,أصحاب سابقون,إضافات,النوع,سنة الاصدار,سعر السيارة بالشيكل
1,4,0,2,0.26917022711940636,130000,1,0,1,1,429,0.7272727272727318,0.05895455746790431
0,4,0,0,0.1679784124128626,99999,0,1,0,0,592,0.7090909090909087,0.04243618904221494
0,4,0,1,0.08994827973915,99999,0,0,0,0,395,0.2727272727272682,0.004393886001233371
0,4,0,0,0.12300427254328761,38000,0,1,0,0,114,0.8545454545454579,0.052947878040380904
1,4,0,0,0.21295255228243762,99999,1,1,1,1,99,0.8727272727272739,0.20411597696638661
0,4,0,1,0.1454913424780751,١٢٣٤٥٦,0,0,0,0,27,0.8727272727272739,0.06396012365750714
0,4,0,0,0.21295255228243762,50000,1,0,1,1,496,0.8545454545454579,0.22914380791440078
0,4,0,0,0.1679784124128626,99999,0,1,0,0,341,0.8545454545454579,0.05795344422998374
0,4,0,1,0.49404092646728137,56000,0,0,0,0,563,0.6545454545454537,0.08298127517799793
1,4,0,1,0.26917022711940636,460000,0,0,0,0,339,0.6909090909090927,0.07397125603671283
0,4,0,1,0.1454913424780751,99999,0,1,0,0,112,0.8181818181818188,0.03793117947157239
0,4,0,0,0.12300427254328761,45000,0,1,0,0,280,0.890909090909097,0.07196902956087169
0,4,0,0,0.1679784124128626,70000,0,0,0,0,398,0.5636363636363666,0.028921160330287278
0,4,0,0,0.12300427254328761,99999,0,1,0,0,280,0.8181818181818188,0.05394899127830147
1,4,0,1,0.1454913424780751,79000,0,1,0,0,423,0.8545454545454579,0.06496123689542771
1,4,0,1,0.1679784124128626,000,0,1,0,0,132,0.8000000000000028,0.05394899127830147
1,4,0,1,0.1679784124128626,150 الف,0,0,0,0,390,0.8545454545454579,0.09899908698472701
0,4,1,0,0.1904654823476501,210000,1,1,1,1,573,0.5454545454545435,0.001490657611263725
0,4,0,1,0.12300427254328761,1,0,0,0,0,22,0.0,0.0006897670209272712
1,4,0,0,0.23543962221722511,20000,1,1,1,1,603,0.7454545454545478,0.07597348251255395
0,4,0,1,0.1679784124128626,00000000000000000,0,1,0,0,595,0.5818181818181826,0.018910027951081602
0,4,0,0,0.1679784124128626,113000,0,0,0,0,587,0.7818181818181869,0.05995567070582487
0,4,0,1,0.1286260400269845,33000,0,1,0,0,341,0.8545454545454579,0.04594008537493693
1,4,0,0,0.21295255228243762,99999,0,1,0,0,598,0.8545454545454579,0.09199129431928303
1,4,0,1,0.1679784124128626,99999,0,1,0,0,273,0.8545454545454579,0.06996680308503055
0,4,0,0,0.1904654823476501,99999,1,0,1,1,588,0.8000000000000028,0.10901021936393268
1,4,0,1,0.1679784124128626,99999,0,1,0,0,270,0.8545454545454579,0.08898795460552134
0,4,0,0,0.1679784124128626,122000,1,1,1,1,433,0.8000000000000028,0.06596235013334828
